frame,time,pred,conf,no_weapon_prob,weapon_prob
226,1758535111.4110477,no_weapon,0.46962193,0.46962193,0.53037804
227,1758535111.8014874,no_weapon,0.5214165,0.5214165,0.47858346
228,1758535112.183224,no_weapon,0.5018705,0.5018705,0.4981295
229,1758535112.5449982,no_weapon,0.4740625,0.4740625,0.5259375
230,1758535112.8914394,no_weapon,0.47224292,0.47224292,0.527757
231,1758535113.3299499,no_weapon,0.4642248,0.4642248,0.53577524
232,1758535113.713789,no_weapon,0.48211238,0.48211238,0.51788753
233,1758535114.0832644,no_weapon,0.5182026,0.5182026,0.48179743
234,1758535114.4492307,no_weapon,0.52063465,0.52063465,0.47936532
235,1758535114.7535908,no_weapon,0.5252364,0.5252364,0.4747636
236,1758535115.0589828,no_weapon,0.5252722,0.5252722,0.4747278
237,1758535115.444142,no_weapon,0.5295782,0.5295782,0.4704218
238,1758535115.8321402,no_weapon,0.5439953,0.5439953,0.4560047
239,1758535116.206502,no_weapon,0.6133777,0.6133777,0.3866223
240,1758535116.6192045,no_weapon,0.60770696,0.60770696,0.3922931
241,1758535117.0494702,no_weapon,0.60514617,0.60514617,0.39485383
242,1758535117.3903444,no_weapon,0.6106787,0.6106787,0.38932133
243,1758535117.7917655,no_weapon,0.6101101,0.6101101,0.3898898
244,1758535118.1328819,no_weapon,0.60374606,0.60374606,0.39625397
245,1758535118.472029,no_weapon,0.604709,0.604709,0.39529097
246,1758535118.8273597,no_weapon,0.5887314,0.5887314,0.4112686
247,1758535119.2031777,no_weapon,0.5463765,0.5463765,0.45362353
248,1758535119.5060809,no_weapon,0.5057575,0.5057575,0.49424258
249,1758535119.8836446,no_weapon,0.5094756,0.5094756,0.49052444
250,1758535120.3258305,no_weapon,0.492147,0.492147,0.507853
251,1758535120.7291598,no_weapon,0.4978643,0.4978643,0.50213563
252,1758535121.1228986,no_weapon,0.50849265,0.50849265,0.49150732
253,1758535121.446304,no_weapon,0.5434856,0.5434856,0.45651442
254,1758535121.8123462,no_weapon,0.5698398,0.5698398,0.43016022
255,1758535122.1691623,no_weapon,0.63013995,0.63013995,0.36986005
256,1758535122.511417,no_weapon,0.6205176,0.6205176,0.37948242
257,1758535122.8750677,no_weapon,0.6156213,0.6156213,0.38437858
258,1758535123.2657788,no_weapon,0.61766076,0.61766076,0.38233927
259,1758535123.6243718,no_weapon,0.61903834,0.61903834,0.38096163
260,1758535124.0034373,no_weapon,0.6149659,0.6149659,0.38503408
261,1758535124.4005156,no_weapon,0.6193211,0.6193211,0.38067883
262,1758535124.7483246,no_weapon,0.62063134,0.62063134,0.37936872
263,1758535125.0754356,no_weapon,0.6203015,0.6203015,0.37969851
264,1758535125.4602618,no_weapon,0.61931044,0.61931044,0.38068956
265,1758535125.8228714,no_weapon,0.6169398,0.6169398,0.3830602
266,1758535126.1651697,no_weapon,0.61932266,0.61932266,0.38067737
267,1758535126.5979064,no_weapon,0.61710614,0.61710614,0.38289386
268,1758535127.0385356,no_weapon,0.6161831,0.6161831,0.38381696
269,1758535127.4194953,no_weapon,0.618142,0.618142,0.381858
270,1758535127.798586,no_weapon,0.6184331,0.6184331,0.38156688
271,1758535128.130218,no_weapon,0.6172115,0.6172115,0.3827885
272,1758535128.5035892,no_weapon,0.6178658,0.6178658,0.38213426
273,1758535128.8085294,no_weapon,0.6171679,0.6171679,0.38283202
274,1758535129.1809032,no_weapon,0.6174664,0.6174664,0.38253358
275,1758535129.6134217,no_weapon,0.6165518,0.6165518,0.3834482
276,1758535130.010945,no_weapon,0.6143313,0.6143313,0.38566867
